1109,Mykayla,F,184
1110,Anabel,F,183
1111,Beverly,F,183
1112,Blake,F,183
1113,Demi,F,183
1114,Emani,F,183
1115,Justina,F,183
1116,Keila,F,183
1117,Makaila,F,183
1118,Colette,F,182
1119,Estefany,F,182
1120,Jalynn,F,182
1121,Joslyn,F,182
1122,Kerry,F,182
1123,Marisela,F,182
1124,Miah,F,182
1125,Anais,F,181
1126,Cherish,F,181
1127,Destinie,F,181
1128,Elle,F,181
1129,Jennie,F,181
1130,Lacie,F,181
1131,Odalis,F,181
1132,Stormy,F,181
1133,Daria,F,180
1134,Halley,F,180
1135,Lina,F,180
1136,Tabatha,F,180
1137,Angeline,F,179
1138,Hollie,F,179
1139,Jayme,F,179
1140,Estefani,F,178
1141,Jaylynn,F,178
1142,Maricela,F,178
1143,Maxine,F,178
1144,Mina,F,178
1145,Maryann,F,177
1146,Shaelyn,F,177
1147,Susanna,F,177
1148,Betty,F,176
1149,Jessika,F,176
1150,Mckinley,F,176
1151,Alaysia,F,175
1152,Connie,F,175
1153,Lidia,F,175
1154,Samira,F,175
1155,Shelbi,F,175
1156,Iman,F,174
1157,Mira,F,174
1158,Sariah,F,174
1159,Shanice,F,174
1160,Jaylyn,F,173
1161,Kristi,F,173
1162,Serina,F,173
1163,Shae,F,173
1164,Taniya,F,173
1165,Winter,F,173
1166,Mindy,F,172
1167,Rhea,F,172
1168,Tristen,F,172
1169,Danae,F,171
1170,Jamia,F,171
1171,Natalya,F,171
1172,Siena,F,171
1173,Areli,F,170
1174,Daja,F,170
1175,Jodi,F,170
1176,Leeann,F,170
1177,Rianna,F,170
1178,Yulissa,F,170
1179,Alyssia,F,169
1180,Ciarra,F,169
1181,Delanie,F,169
1182,Lynn,F,169
1183,Nautica,F,169
1184,Tamera,F,169
1185,Tionna,F,169
1186,Alecia,F,168
1187,Annalisa,F,168
1188,Astrid,F,168
1189,Breann,F,168
1190,Journey,F,168
1191,Kaiya,F,168
1192,Zariah,F,168
1193,Adilene,F,167
